"year","month","tmp_min","tmp_max","tmp_ave","prcp","srad","frost_days","co2","d13catm"
2001,1,-1.46695256233215,4.42629528045654,1.2551873922348,106.999998092651,8.406892578125,19,360,-7.6778263499915
2001,2,-0.861654818058014,7.55357122421265,2.98214292526245,29.0000009536743,12.6640185546875,14,360.036,-7.6778263499915
2001,3,3.80461239814758,11.4636669158936,7.34094572067261,195.797004699707,15.9057568359375,14,360.0720036,-7.6778263499915
2001,4,2.79471635818481,11.3523111343384,6.58564424514771,144.000005722046,17.77533203125,6,360.10801080036,-7.6778263499915
2001,5,9.75518703460693,20.884220123291,15.156177520752,57.2029876708984,21.501787109375,0,360.14402160144,-7.6778263499915
2001,6,10.0666666030884,21.1666660308838,15.4280500411987,241.114044189453,18.191630859375,0,360.1800360036,-7.6778263499915
2001,7,13.2155799865723,24.4003486633301,18.3519611358643,127.317018508911,16.910751953125,0,360.216054007201,-7.6778263499915
2001,8,13.8991508483887,25.0091762542725,19.0293807983398,113.000001907349,12.1802294921875,0,360.252075612601,-7.6778263499915
2001,9,7.96897745132446,16.0457878112793,11.6094827651978,134.000005722046,6.7793876953125,0,360.288100820163,-7.6778263499915
2001,10,8.30133819580078,18.7239685058594,12.6906709671021,60.3170204162598,4.83657666015625,0,360.324129630245,-7.6778263499915
2001,11,-0.100000001490116,5.53564405441284,2.5,60,3.36012548828125,10,360.360162043208,-7.6778263499915
2001,12,-3.90610313415527,2.20967745780945,-0.799511075019836,22.0000004768372,3.7552451171875,22,360.396198059412,-7.6778263499915
2002,1,-4.13518333435059,3.93037080764771,-0.368731647729874,17.0000004768372,7.32388037109375,18,360.432237679218,-7.70522205011095
2002,2,1.17538607120514,8.8214282989502,4.86367797851562,69.861364364624,11.5174580078125,9,360.468280902986,-7.70522205011095
2002,3,1.73786020278931,12.3519611358643,6.77011871337891,55,16.434595703125,10,360.504327731076,-7.70522205011095
2002,4,3.56369352340698,14.5947160720825,8.80231094360352,54.252667427063,19.077318359375,3,360.540378163849,-7.70522205011095
2002,5,7.42629528045654,17.5828800201416,12.2983016967773,151.999998092651,19.719037109375,0,360.576432201666,-7.70522205011095
2002,6,12.6685552597046,24.9689769744873,18.7124557495117,130,18.815943359375,0,360.612489844886,-7.70522205011095
